,show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in,listed_in1,listed_in2,listed_in3,duration_seasons
6706,s639,TV Show,Sex/Life,Not Given,United States,2021-06-25,2021,TV-MA,1 Season,"Romantic TV Shows, TV Dramas",Romantic TV Shows, TV Dramas,0,
6707,s547,TV Show,You Are My Spring,Not Given,Pakistan,2021-07-06,2021,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",International TV Shows, Romantic TV Shows, TV Dramas,
6708,s643,TV Show,The Naked Director,Not Given,Japan,2021-06-24,2021,TV-MA,2 Seasons,"International TV Shows, TV Dramas",International TV Shows, TV Dramas,0,
6709,s649,TV Show,Too Hot to Handle,Not Given,United States,2021-06-23,2021,TV-MA,2 Seasons,"Reality TV, Romantic TV Shows",Reality TV, Romantic TV Shows,0,
6710,s658,TV Show,The Mole,Not Given,United States,2021-06-21,2001,TV-14,2 Seasons,"Reality TV, TV Action & Adventure, TV Mysteries",Reality TV, TV Action & Adventure, TV Mysteries,
6711,s660,TV Show,Bangkok Love Stories: Innocence,Not Given,Thailand,2021-06-19,2018,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",International TV Shows, Romantic TV Shows, TV Dramas,
6712,s661,TV Show,Black Lightning,Not Given,United States,2021-06-19,2021,TV-14,4 Seasons,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy",TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy,
6713,s662,TV Show,Call My Agent!,Not Given,France,2021-06-19,2018,TV-MA,4 Seasons,"International TV Shows, TV Comedies, TV Dramas",International TV Shows, TV Comedies, TV Dramas,
6714,s663,TV Show,Champions,Not Given,United States,2021-06-19,2018,TV-14,1 Season,TV Comedies,TV Comedies,0,0,
6715,s666,TV Show,Deadwind,Not Given,Finland,2021-06-19,2020,TV-MA,2 Seasons,"Crime TV Shows, International TV Shows, TV Dramas",Crime TV Shows, International TV Shows, TV Dramas,
6716,s668,TV Show,Glee,Not Given,United States,2021-06-19,2015,TV-14,6 Seasons,"TV Comedies, TV Dramas, Teen TV Shows",TV Comedies, TV Dramas, Teen TV Shows,
6717,s669,TV Show,Hap and Leonard,Not Given,United States,2021-06-19,2018,TV-MA,3 Seasons,"Crime TV Shows, TV Dramas",Crime TV Shows, TV Dramas,0,
6718,s670,TV Show,Locked Up,Not Given,Spain,2021-06-19,2020,TV-MA,5 Seasons,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Crime TV Shows, International TV Shows, Spanish-Language TV Shows,
6719,s674,TV Show,No Time for Shame,Not Given,Argentina,2021-06-19,2019,TV-MA,1 Season,"International TV Shows, Reality TV, Spanish-Language TV Shows",International TV Shows, Reality TV, Spanish-Language TV Shows,
6720,s641,TV Show,Jiva!,Not Given,Pakistan,2021-06-24,2021,TV-MA,1 Season,"International TV Shows, TV Dramas",International TV Shows, TV Dramas,0,
6721,s675,TV Show,Pose,Not Given,United States,2021-06-19,2019,TV-MA,2 Seasons,TV Dramas,TV Dramas,0,0,
6722,s676,TV Show,REA(L)OVE,Not Given,Japan,2021-06-19,2018,TV-MA,1 Season,"International TV Shows, Reality TV, Romantic TV Shows",International TV Shows, Reality TV, Romantic TV Shows,
6723,s678,TV Show,Schitt's Creek,Not Given,Canada,2021-06-19,2020,TV-MA,6 Seasons,TV Comedies,TV Comedies,0,0,
6724,s679,TV Show,The Assassination of Gianni Versace,Not Given,United States,2021-06-19,2018,TV-MA,1 Season,"Crime TV Shows, TV Dramas, TV Thrillers",Crime TV Shows, TV Dramas, TV Thrillers,
6725,s680,TV Show,The Judgement,Not Given,Thailand,2021-06-19,2018,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",Crime TV Shows, International TV Shows, TV Dramas,
6726,s681,TV Show,The Last Dance,Not Given,United States,2021-06-19,2020,TV-MA,1 Season,Docuseries,Docuseries,0,0,
